timestamp,species,confidence,x1,y1,x2,y2,frame_width,frame_height,is_person,behavior
2025-11-19T00:09:32.244462,Person/Poacher,0.2873560488224029,271,358,434,479,640,480,True,Unknown
2025-11-19T00:09:32.378262,Person/Poacher,0.2615439891815185,3,1,614,479,640,480,True,Unknown
2025-11-19T00:09:32.643392,Person/Poacher,0.5900442004203796,3,0,591,479,640,480,True,Unknown
2025-11-19T00:09:32.711235,Person/Poacher,0.5861632823944092,14,0,629,479,640,480,True,Unknown
2025-11-19T00:09:32.712038,Person/Poacher,0.3497719764709472,205,1,638,478,640,480,True,Unknown
2025-11-19T00:09:32.776977,Person/Poacher,0.6656032204627991,4,3,612,479,640,480,True,Unknown
2025-11-19T00:09:32.844999,Person/Poacher,0.321392297744751,3,0,638,480,640,480,True,Unknown
2025-11-19T00:09:32.976592,Person/Poacher,0.30898317694664,4,2,532,479,640,480,True,Unknown
2025-11-19T00:09:33.015353,Unknown,0.2959708869457245,126,1,637,479,640,480,False,Unknown
2025-11-19T00:09:41.371685,Person/Poacher,0.3998328447341919,198,0,636,478,640,480,True,Unknown
2025-11-19T00:09:41.438094,Person/Poacher,0.34182009100914,193,1,637,478,640,480,True,Unknown
2025-11-19T00:09:41.471323,Unknown,0.2821116149425506,191,4,637,479,640,480,False,Unknown
2025-11-19T00:09:41.539022,Person/Poacher,0.3370324969291687,153,1,637,477,640,480,True,Unknown
2025-11-19T00:09:41.605648,Person/Poacher,0.3357912600040436,131,0,637,478,640,480,True,Unknown
2025-11-19T00:09:41.639952,Unknown,0.2907840609550476,129,1,638,478,640,480,False,Unknown
2025-11-19T00:09:41.706672,Person/Poacher,0.3943220973014831,117,0,637,478,640,480,True,Unknown
2025-11-19T00:09:41.803471,Unknown,0.3180195987224579,117,0,636,478,640,480,False,Unknown
2025-11-19T00:09:41.804255,Person/Poacher,0.2716069519519806,113,1,636,478,640,480,True,Unknown
2025-11-19T00:09:41.873164,Person/Poacher,0.6245948076248169,132,0,637,478,640,480,True,Unknown
2025-11-19T00:09:41.940437,Person/Poacher,0.5593434572219849,142,0,636,479,640,480,True,Unknown
2025-11-19T00:09:42.003279,Person/Poacher,0.5905221104621887,163,0,637,479,640,480,True,Unknown
2025-11-19T00:09:42.073254,Person/Poacher,0.5358009338378906,183,0,637,479,640,480,True,Unknown
2025-11-19T00:09:42.140028,Person/Poacher,0.3843919336795807,200,0,637,479,640,480,True,Unknown
2025-11-19T00:09:42.204267,Person/Poacher,0.4487068653106689,221,1,638,478,640,480,True,Unknown
2025-11-19T00:09:42.268938,Person/Poacher,0.4218609631061554,247,0,638,478,640,480,True,Unknown
2025-11-19T00:09:42.338710,Person/Poacher,0.6014201045036316,265,0,638,479,640,480,True,Unknown
2025-11-19T00:09:42.406728,Person/Poacher,0.31855508685112,286,1,639,476,640,480,True,Unknown
2025-11-19T00:09:42.472433,Person/Poacher,0.4169327318668365,308,0,639,477,640,480,True,Unknown
2025-11-19T00:09:42.538800,Person/Poacher,0.610883891582489,330,0,639,478,640,480,True,Unknown
2025-11-19T00:09:42.609762,Person/Poacher,0.636700451374054,349,0,639,478,640,480,True,Unknown
2025-11-19T00:09:42.737795,Person/Poacher,0.3700966536998749,375,0,638,479,640,480,True,Unknown
2025-11-19T00:09:42.805934,Person/Poacher,0.6666998267173767,392,0,639,478,640,480,True,Unknown
2025-11-19T00:09:42.873383,Person/Poacher,0.3984343707561493,399,1,639,477,640,480,True,Unknown
2025-11-19T00:09:42.938925,Person/Poacher,0.3588268458843231,412,1,639,480,640,480,True,Unknown
2025-11-19T00:09:43.205507,Person/Poacher,0.3363259434700012,425,0,639,480,640,480,True,Unknown
2025-11-19T00:09:43.271889,Person/Poacher,0.4387763142585754,443,1,639,478,640,480,True,Unknown
